"","TaxonoriginalDN","Taxonsimplified_DN","name","Acceptedname_ALA","name2.x","Note.Gbif","Taxonresolution_ALA","Collector","UniqueID","Provenance","Latitudedegrees","Latitudeminutes","Latitudeseconds","Longitudedegrees","Longitudeminutes","Longitudeseconds","Row","Tree","StatusFeb2016","Drought2019","Drought2020","Recovery2019.2020","Regrowth","RegrowthLocation","RegrowthAge","Regrowthdieback","Timesincedeath.June2019.","Drought2006","MaturityMar2020","Maturity.at.June.2019","Yearplanted","original","name2.y","name3"
"78","Eucalyptus albopurpurea","Eucalyptus albopurpurea","eucalyptus albopurpurea","Eucalyptus albopurpurea","eucalyptus albopurpurea","","Species ","D.Nicolle",3180,"Sleaford Mere 2, SA",34,49,59,135,43,59,220,13,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",2001,"Eucalyptus_albopurpurea_3","eucalyptus_albopurpurea","eucalyptus_albopurpurea"
"79","Eucalyptus alipes","Eucalyptus alipes","eucalyptus alipes","Eucalyptus alipes","eucalyptus alipes","","Species ","D.Nicolle",3675,"Varley, WA",32,49,17,119,31,46,228,21,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",2001,"Eucalyptus_alipes_53","eucalyptus_alipes","eucalyptus_alipes"
"80","Eucalyptus alligatrix subsp. alligatrix","Eucalyptus alligatrix subsp. alligatrix","eucalyptus alligatrix subsp. alligatrix","Eucalyptus alligatrix subsp. alligatrix","eucalyptus alligatrix subsp. alligatrix","","Subspecies","D.Nicolle",1774,"Eildon, Vic",37,22,17,146,0,49,145,31,"Alive","Severe","Severe","?","None evident","","","","","None evident","","",1997,"Eucalyptus_alligatrix_subsp_alligatrix_167","eucalyptus_alligatrix_subsp._alligatrix","eucalyptus_alligatrix_subsp_alligatrix"
"81","Eucalyptus alligatrix subsp. alligatrix (subsp. limaensis)","Eucalyptus alligatrix subsp. alligatrix","eucalyptus alligatrix subsp. alligatrix","Eucalyptus alligatrix subsp. limaensis","eucalyptus alligatrix subsp. limaensis","","Subspecies","D.Nicolle",1773,"Swanpool, Vic",36,44,58,145,59,35,144,12,"Alive","Moderate","Moderate","?","None evident","","","","","None evident","Flowered","Flowered",1997,"Eucalyptus_alligatrix_subsp_alligatrix_167","eucalyptus_alligatrix_subsp._alligatrix","eucalyptus_alligatrix_subsp_alligatrix"
"82","Eucalyptus amplifolia subsp. amplifolia","Eucalyptus amplifolia subsp. amplifolia","eucalyptus amplifolia subsp. amplifolia","Eucalyptus amplifolia subsp. amplifolia","eucalyptus amplifolia subsp. amplifolia","","Subspecies","D.Nicolle",604,"Nerriga, NSW",35,5,41,150,6,56,53,19,"Alive","None evident","Slight","?","None evident","","","","","None evident","Flowered","Flowered",1994,"Eucalyptus_amplifolia_subsp_amplifolia_225","eucalyptus_amplifolia_subsp._amplifolia","eucalyptus_amplifolia_subsp_amplifolia"
"83","Eucalyptus amygdalina","Eucalyptus amygdalina","eucalyptus amygdalina","Eucalyptus amygdalina","eucalyptus amygdalina","","Species ","D.Nicolle",1987,"Rheban, Tas",42,41,9,147,52,35,152,5,"Dead","","","","","","","","","","","",1998,"Eucalyptus_amygdalina_CANB_481986","eucalyptus_amygdalina","eucalyptus_amygdalina"
"84","Eucalyptus ancophila","Eucalyptus ancophila","eucalyptus ancophila","Eucalyptus ancophila","eucalyptus ancophila","","Species ","D.Nicolle",646,"Eungai Creek, NSW",30,48,59,152,51,12,58,12,"Alive","None evident","Slight","?","None evident","","","","","None evident","Flowered","Flowered",1994,"Eucalyptus_ancophila_Mt_Annan_841467","eucalyptus_ancophila","eucalyptus_ancophila"
"85","Eucalyptus angophoroides","Eucalyptus angophoroides","eucalyptus angophoroides","Eucalyptus angophoroides","eucalyptus angophoroides","","Species ","D.Nicolle",1745,"Genoa, Vic",37,28,56,149,34,36,142,23,"Alive","Moderate","Moderate","?","None evident","","","","","Severe","","",1997,"Eucalyptus_angophoroides_158","eucalyptus_angophoroides","eucalyptus_angophoroides"
"86","Eucalyptus angulosa","Eucalyptus angulosa","eucalyptus angulosa","Eucalyptus angulosa","eucalyptus angulosa","","Species ","D.Nicolle",1136,"Two Peoples Bay, WA",34,56,19,118,12,27,67,10,"Alive","Slight","Slight","?","None evident","","","","","None evident","Flowered","Flowered",1995,"Eucalyptus_angulosa_383","eucalyptus_angulosa","eucalyptus_angulosa"
"87","Eucalyptus angustissima","Eucalyptus angustissima","eucalyptus angustissima","Eucalyptus angustissima","eucalyptus angustissima","","Species ","D.Nicolle",150,"Lort River 1, WA",33,2,46,121,10,20,13,20,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"Eucalyptus_angustissima_CANB_794337","eucalyptus_angustissima","eucalyptus_angustissima"
"88","Eucalyptus annulata","Eucalyptus annulata","eucalyptus annulata","Eucalyptus annulata","eucalyptus annulata","","Species ","D.Nicolle",206,"Jerramungup, WA",34,4,21,119,2,43,21,35,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"Eucalyptus_annulata_CANB_794263","eucalyptus_annulata","eucalyptus_annulata"
"89","Eucalyptus apiculata","Eucalyptus apiculata","eucalyptus apiculata","Eucalyptus apiculata","eucalyptus apiculata","","Species ","D.Nicolle",617,"Berrima, NSW",34,29,30,150,16,0,60,37,"Dead","","","","","","","","","","","",1994,"Eucalyptus_apiculata_613","eucalyptus_apiculata","eucalyptus_apiculata"
"90","Eucalyptus apothalassica","Eucalyptus apothalassica","eucalyptus apothalassica","Eucalyptus apothalassica","eucalyptus apothalassica","","Species ","D.Nicolle",1263,"Eidsvold, Qld",25,21,16,150,36,35,89,38,"Alive","Moderate","Moderate","?","None evident","","","","","Moderate","","",1996,"Eucalyptus_apothalassica_721925","eucalyptus_apothalassica","eucalyptus_apothalassica"
"91","Eucalyptus aquilina","Eucalyptus aquilina","eucalyptus aquilina","Eucalyptus aquilina","eucalyptus aquilina","","Species ","D.Nicolle",176,"Lucky Bay, WA",33,58,55,122,12,56,23,28,"Dead","","","","","","","","","","","",1993,"Eucalyptus_aquilina_CANB_459757","eucalyptus_aquilina","eucalyptus_aquilina"
"92","Eucalyptus arborella","Eucalyptus arborella","eucalyptus arborella","Eucalyptus arborella","eucalyptus arborella","","Species ","D.Nicolle",1127,"Twertup, WA",34,2,NA,119,22,NA,70,29,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"Eucalyptus_arborella_361","eucalyptus_arborella","eucalyptus_arborella"
"93","Eucalyptus arenacea","Eucalyptus arenacea","eucalyptus arenacea","Eucalyptus arenacea","eucalyptus arenacea","","Species ","D.Nicolle",1588,"Pinnaroo, SA",35,27,59,140,46,25,137,11,"Alive","Moderate","Moderate","?","None evident","","","","","None evident","Flowered","Flowered",1997,"Eucalyptus_arenacea_MC_10652","eucalyptus_arenacea","eucalyptus_arenacea"
"94","Eucalyptus argillacea","Eucalyptus argillacea","eucalyptus argillacea","Eucalyptus argillacea","eucalyptus argillacea","","Species ","D.Nicolle",4241,"Mt House Station, WA",17,6,0,125,32,43,207,13,"Alive","None evident","None evident","?","","","","","","Not applicable","","",2002,"Eucalyptus_argillacea_CANB_785537","eucalyptus_argillacea","eucalyptus_argillacea"
"95","Eucalyptus argophloia","Eucalyptus argophloia","eucalyptus argophloia","Eucalyptus argophloia","eucalyptus argophloia","","Species ","D.Nicolle",686,"Burncluith, Qld",26,37,52,150,44,5,51,5,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1994,"Eucalyptus_argophloia_773","eucalyptus_argophloia","eucalyptus_argophloia"
"96","Eucalyptus argutifolia","Eucalyptus argutifolia","eucalyptus argutifolia","Eucalyptus argutifolia","eucalyptus argutifolia","","Species ","D.Nicolle",249,"Seabird, WA",31,17,9,115,26,46,14,31,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"Eucalyptus_argutifolia_AHT_E17","eucalyptus_argutifolia","eucalyptus_argutifolia"
"97","Eucalyptus articulata","Eucalyptus articulata","eucalyptus articulata","Eucalyptus articulata","eucalyptus articulata","","Species ","D.Nicolle",520,"Mulga Rock, WA",30,8,32,123,16,40,40,16,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1994,"Eucalyptus_articulata_186","eucalyptus_articulata","eucalyptus_articulata"
"98","Eucalyptus aspersa","Eucalyptus aspersa","eucalyptus aspersa","Eucalyptus aspersa","eucalyptus aspersa","","Species ","D.Nicolle",1149,"North Bannister, WA",32,30,40,116,22,27,73,13,"Dead","","","","","","","","","","","",1995,"Eucalyptus_aspersa_297","eucalyptus_aspersa","eucalyptus_aspersa"
"99","Eucalyptus aspratilis","Eucalyptus aspratilis","eucalyptus aspratilis","Eucalyptus aspratilis","eucalyptus aspratilis","","Species ","D.Nicolle",328,"Mt Day, WA",32,6,51,120,26,25,31,5,"Alive","None evident","None evident","?","","","","","","None evident","","",1993,"Eucalyptus_aspratilis_AHT_E18","eucalyptus_aspratilis","eucalyptus_aspratilis"
"100","Eucalyptus assimilans","Eucalyptus assimilans","eucalyptus assimilans","Eucalyptus assimilans","eucalyptus assimilans","","Species ","D.Nicolle",1826,"Balladonia, WA",32,14,58,123,25,24,133,17,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1997,"Eucalyptus_assimilans_269","eucalyptus_assimilans","eucalyptus_assimilans"
"101","Eucalyptus astringens subsp. astringens","Eucalyptus astringens subsp. astringens","eucalyptus astringens subsp. astringens","Eucalyptus astringens subsp. astringens","eucalyptus astringens subsp. astringens","","Subspecies","D.Nicolle",3423,"Tutanning Nature Res., WA",32,32,43,117,20,38,237,9,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",2001,"Eucalyptus_astringens_subsp_astringens_68","eucalyptus_astringens_subsp._astringens","eucalyptus_astringens_subsp_astringens"
"102","Eucalyptus atrata","Eucalyptus atrata","eucalyptus atrata","Eucalyptus atrata","eucalyptus atrata","","Species ","D.Nicolle",1308,"Herberton, Qld",17,23,13,145,19,56,91,32,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1996,"Eucalyptus_atrata_8603434","eucalyptus_atrata","eucalyptus_atrata"
"103","Eucalyptus badjensis","Eucalyptus badjensis","eucalyptus badjensis","Eucalyptus badjensis","eucalyptus badjensis","","Species ","D.Nicolle",1767,"Mother Woila, NSW",36,1,0,149,39,27,144,8,"Alive","Slight","Moderate","?","Scattered","Primary branches","3 - 6 months","None evident","","None evident","Flowered","Flowered",1997,"Eucalyptus_badjensis_166","eucalyptus_badjensis","eucalyptus_badjensis"
"104","Eucalyptus baeuerlenii","Eucalyptus baeuerlenii","eucalyptus baeuerlenii","Eucalyptus baeuerlenii","eucalyptus baeuerlenii","","Species ","D.Nicolle",1227,"Wentworth Falls 1, NSW",33,43,39,150,22,18,93,21,"Dead","","","","","","","","","Died in 2006","","",1996,"Eucalyptus_baeuerlenii_7810671","eucalyptus_baeuerlenii","eucalyptus_baeuerlenii"
"105","Eucalyptus baileyana","Eucalyptus baileyana","eucalyptus baileyana","Eucalyptus baileyana","eucalyptus baileyana","","Species ","D.Nicolle",2938,"Helidon Hills, Qld",27,28,7,152,10,22,192,17,"Dead","","","","","","","","","","","",2000,"Eucalyptus_baileyana_Mt_Annan_892003","eucalyptus_baileyana","eucalyptus_baileyana"
"106","Eucalyptus bakeri","Eucalyptus bakeri","eucalyptus bakeri","Eucalyptus bakeri","eucalyptus bakeri","","Species ","D.Nicolle",1269,"Injune, Qld",25,12,11,147,56,11,90,13,"Alive","None evident","None evident","?","","","","","","None evident","","",1996,"Eucalyptus_bakeri_567","eucalyptus_bakeri","eucalyptus_bakeri"
"107","Eucalyptus balladoniensis subsp. balladoniensis","Eucalyptus balladoniensis subsp. balladoniensis","eucalyptus balladoniensis subsp. balladoniensis","Eucalyptus balladoniensis subsp. balladoniensis","eucalyptus balladoniensis subsp. balladoniensis","","Subspecies","D.Nicolle",118,"Balladonia, WA",32,15,27,123,26,6,28,7,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"Eucalyptus_balladoniensis_subsp_balladoniensis_CANB_586833","eucalyptus_balladoniensis_subsp._balladoniensis","eucalyptus_balladoniensis_subsp_balladoniensis"
"108","Eucalyptus barberi","Eucalyptus barberi","eucalyptus barberi","Eucalyptus barberi","eucalyptus barberi","","Species ","D.Nicolle",1989,"Cherry Tree Hill Forest Res., Tas",41,58,6,148,8,22,151,2,"Alive","Dead","","","","","","","2 - 3 years","Severe","","",1998,"Eucalyptus_barberi_600","eucalyptus_barberi","eucalyptus_barberi"
"109","Eucalyptus baueriana","Eucalyptus baueriana","eucalyptus baueriana","Eucalyptus baueriana","eucalyptus baueriana","","Species ","D.Nicolle",1734,"Metung, Vic",37,52,40,147,51,15,142,32,"Alive","Moderate","Moderate","?","None evident","","","","","None evident","Flowered","Flowered",1997,"Eucalyptus_baueriana_160","eucalyptus_baueriana","eucalyptus_baueriana"
"110","Eucalyptus baueriana (subsp. deddickensis)","Eucalyptus baueriana","eucalyptus baueriana","Eucalyptus baueriana subsp. deddickensis","eucalyptus baueriana subsp. deddickensis","","Subspecies","D.Nicolle",7378,"Deddick River, Vic",37,5,30,148,26,20,405,7,"Alive","None evident","None evident","?","","","","","","Not applicable","","",2018,"Eucalyptus_baueriana_160","eucalyptus_baueriana","eucalyptus_baueriana"
"111","Eucalyptus baueriana (subsp. thalassina)","Eucalyptus baueriana","eucalyptus baueriana","Eucalyptus baueriana subsp. thalassina","eucalyptus baueriana subsp. thalassina","","Subspecies","D.Nicolle",6097,"Bachus Marsh, Vic",37,37,1,144,31,39,281,1,"Alive","None evident","None evident","?","","","","","","Not applicable","","",2013,"Eucalyptus_baueriana_160","eucalyptus_baueriana","eucalyptus_baueriana"
"112","Eucalyptus baxteri","Eucalyptus baxteri","eucalyptus baxteri","Eucalyptus baxteri","eucalyptus baxteri","","Species ","D.Nicolle",7234,"Wilsons Promontory, Vic",39,1,20,146,19,18,340,24,"Alive","None evident","None evident","?","","","","","","Not applicable","Budded","",2017,"Eucalyptus_baxteri_8701806","eucalyptus_baxteri","eucalyptus_baxteri"
"113","Eucalyptus beaniana","Eucalyptus beaniana","eucalyptus beaniana","Eucalyptus beaniana","eucalyptus beaniana","","Species ","D.Nicolle",6472,"Isla Gorge, Qld",25,11,28,149,58,21,281,13,"Alive","None evident","None evident","?","","","","","","Not applicable","","",2013,"Eucalyptus_beaniana_CANB_842071","eucalyptus_beaniana","eucalyptus_beaniana"
"114","Eucalyptus beardiana","Eucalyptus beardiana","eucalyptus beardiana","Eucalyptus beardiana","eucalyptus beardiana","","Species ","D.Nicolle",2208,"Nerren Nerren, WA",27,7,44,114,33,12,186,10,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",2000,"Eucalyptus_beardiana_CANB_632554","eucalyptus_beardiana","eucalyptus_beardiana"
"115","Eucalyptus behriana","Eucalyptus behriana","eucalyptus behriana","Eucalyptus behriana","eucalyptus behriana","","Species ","D.Nicolle",2065,"Warracknabeal, Vic",36,15,39,142,40,22,82,22,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1998,"Eucalyptus_behriana_646","eucalyptus_behriana","eucalyptus_behriana"
"116","Eucalyptus bensonii","Eucalyptus bensonii","eucalyptus bensonii","Eucalyptus bensonii","eucalyptus bensonii","","Species ","D.Nicolle",773,"Wollemi, NSW",32,55,57,150,21,43,57,4,"Alive","Slight","Slight","?","Extensive","Primary, secondary & tertiary branches","6 - 9 months","None evident","","None evident","","",1994,"Eucalyptus_bensonii_Mt_Annan_830911","eucalyptus_bensonii","eucalyptus_bensonii"
"117","Eucalyptus benthamii","Eucalyptus benthamii","eucalyptus benthamii","Eucalyptus benthamii","eucalyptus benthamii","","Species ","D.Nicolle",3203,"Camden, NSW",34,2,29,150,41,45,239,26,"Alive","Dead","","","","","","","1 - 2 years","Moderate","Flowered","Flowered",2001,"Eucalyptus_benthamii_423","eucalyptus_benthamii","eucalyptus_benthamii"
"118","Eucalyptus beyeriana","Eucalyptus beyeriana","eucalyptus beyeriana","Eucalyptus beyeriana","eucalyptus beyeriana","","Species ","D.Nicolle",1761,"Bargo, NSW",34,18,45,150,35,15,143,25,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1997,"Eucalyptus_beyeriana_163","eucalyptus_beyeriana","eucalyptus_beyeriana"
"119","Eucalyptus blakelyi ","Eucalyptus blakelyi","eucalyptus blakelyi","Eucalyptus blakelyi","eucalyptus blakelyi","","Species ","D.Nicolle",3796,"Warby Range Vic",36,17,55,146,9,52,207,20,"Alive","None evident","None evident","?","","","","","","Not applicable","Flowered","Flowered",2002,"Eucalyptus_blakelyi_211","eucalyptus_blakelyi","eucalyptus_blakelyi"
"120","Eucalyptus blaxellii","Eucalyptus blaxellii","eucalyptus blaxellii","Eucalyptus blaxellii","eucalyptus blaxellii","","Species ","D.Nicolle",272,"Moresby Range, WA",28,42,6,114,41,42,25,18,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"Eucalyptus_blaxellii_MC_11172","eucalyptus_blaxellii","eucalyptus_blaxellii"
"121","Eucalyptus blaxlandii","Eucalyptus blaxlandii","eucalyptus blaxlandii","Eucalyptus blaxlandii","eucalyptus blaxlandii","","Species ","D.Nicolle",1225,"Lithgow, NSW",33,31,13,150,7,1,143,9,"Dead","","","","","","","","","","","",1997,"Eucalyptus_blaxlandii_8001329","eucalyptus_blaxlandii","eucalyptus_blaxlandii"
"122","Eucalyptus boliviana","Eucalyptus boliviana","eucalyptus boliviana","Eucalyptus boliviana","eucalyptus boliviana","","Species ","D.Nicolle",6197,"Bolivia Hill, NSW",29,21,11,151,54,58,283,13,"Alive","None evident","None evident","?","","","","","","Not applicable","","",2013,"Eucalyptus_boliviana_518876","eucalyptus_boliviana","eucalyptus_boliviana"
"123","Eucalyptus bosistoana","Eucalyptus bosistoana","eucalyptus bosistoana","Eucalyptus bosistoana","eucalyptus bosistoana","","Species ","D.Nicolle",1733,"Metung, Vic",37,52,40,147,51,15,141,31,"Alive","None evident","Moderate","??","None evident","","","","","None evident","","",1997,"Eucalyptus_bosistoana_671","eucalyptus_bosistoana","eucalyptus_bosistoana"
"124","Eucalyptus botryoides","Eucalyptus botryoides","eucalyptus botryoides","Eucalyptus botryoides","eucalyptus botryoides","","Species ","D.Nicolle",1739,"Orbost, Vic",37,45,22,148,31,40,140,20,"Alive","Moderate","Moderate","?","Very scattered","Primary branches","3 - 6 months","None evident","","Moderate","Flowered","Flowered",1997,"Eucalyptus_botryoides_304","eucalyptus_botryoides","eucalyptus_botryoides"
