"","TaxonoriginalDN","taxonsimplified_dn","Taxonsimplified_DN","Acceptedname_ALA","name","Note.Gbif","Taxonresolution_ALA","Collector","UniqueID","Provenance","Latitudedegrees","Latitudeminutes","Latitudeseconds","Longitudedegrees","Longitudeminutes","Longitudeseconds","Row","Tree","StatusFeb2016","Drought2019","Drought2020","Recovery2019.2020","Regrowth","RegrowthLocation","RegrowthAge","Regrowthdieback","Timesincedeath.June2019.","Drought2006","MaturityMar2020","Maturity.at.June.2019","Yearplanted","RowTree","Taxon","binomial","genus","species","subspecies","taxon.1","Status","Accepted.name","Authority","Collection.source","ETS.accession","ITS.accession","matK.accession","psbA.accession"
"922","Eucalyptus salmonophloia","eucalyptus salmonophloia","Eucalyptus salmonophloia","Eucalyptus salmonophloia","eucalyptus salmonophloia","","Species ","D.Nicolle","341","Spinifex Range, WA",30,48,38,122,50,"0",42,13,"Alive","None evident","None evident","?","","","","","","None evident","Budded","Budded",1994,"R042/T13","Eucalyptus salmonophloia","eucalyptus salmonophloia","eucalyptus","salmonophloia",NA,"eucalyptus salmonophloia","Accepted","","F.Muell.","CANB 564460**","KT631960","AF390509","KT633120","KT632533"
"923","Eucalyptus salubris","eucalyptus salubris","Eucalyptus salubris","Eucalyptus salubris","eucalyptus salubris","","Species ","D.Nicolle","342","Spinifex Range, WA",30,46,24,122,50,"20",16,5,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R016/T05","Eucalyptus salubris","eucalyptus salubris","eucalyptus","salubris",NA,"eucalyptus salubris","Accepted","","F.Muell.","Currency Creek 3496","KT631961","KT631327","KT633121","KT632534"
"924","Corymbia calophylla","corymbia calophylla","Corymbia calophylla","Corymbia calophylla","corymbia calophylla","","Species ","D.Nicolle","3421","Brookton, WA",32,16,32,116,30,"34",237,8,"Alive","Moderate","Slight","?","None evident","","","","","None evident","Flowered","Flowered",2001,"R237/T08","Corymbia calophylla","corymbia calophylla","corymbia","calophylla",NA,"corymbia calophylla","Accepted","","(R.Br. ex Lindl.) K.D.Hill","Currency Creek 1160","KT631434","KT630908","HQ287615","KT632080"
"925","Eucalyptus astringens subsp. astringens","eucalyptus astringens subsp. astringens","Eucalyptus astringens subsp. astringens","Eucalyptus astringens subsp. astringens","eucalyptus astringens subsp. astringens","","Subspecies","D.Nicolle","3423","Tutanning Nature Res., WA",32,32,43,117,20,"38",237,9,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",2001,"R237/T09","Eucalyptus astringens subsp. astringens","eucalyptus astringens","eucalyptus","astringens","astringens","eucalyptus astringens subsp. astringens","Accepted","","(Maiden) Maiden","Currency Creek 3503","KT631527","KT630965","","KT632156"
"926","Eucalyptus kondininensis","eucalyptus kondininensis","Eucalyptus kondininensis","Eucalyptus kondininensis","eucalyptus kondininensis","","Species ","D.Nicolle","3424","Yealering, WA",32,35,10,117,39,"52",234,1,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",2001,"R234/T01","Eucalyptus kondininensis","eucalyptus kondininensis","eucalyptus","kondininensis",NA,"eucalyptus kondininensis","Accepted","","Maiden & Blakely","Currency Creek 3424","KT631754","KT631157","KT632933","KT632358"
"927","Eucalyptus orthostemon","eucalyptus orthostemon","Eucalyptus orthostemon","Eucalyptus orthostemon","eucalyptus orthostemon","","Species ","D.Nicolle","3426","Yealering, WA",32,35,10,117,39,"52",234,13,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",2001,"R234/T13","Eucalyptus orthostemon","eucalyptus orthostemon","eucalyptus","orthostemon",NA,"eucalyptus orthostemon","Accepted","","D.Nicolle & Brooker","Currency Creek 3426","KT631861","KT631249","KT633030","KT632444"
"928","Eucalyptus macrocarpa subsp. macrocarpa","eucalyptus macrocarpa subsp. macrocarpa","Eucalyptus macrocarpa subsp. macrocarpa","Eucalyptus macrocarpa subsp. macrocarpa","eucalyptus macrocarpa subsp. macrocarpa","","Subspecies","D.Nicolle","3428","Yealering, WA",32,36,15,117,51,"19",229,8,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",2001,"R229/T08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"929","Eucalyptus flavida","eucalyptus flavida","Eucalyptus flavida","Eucalyptus flavida","eucalyptus flavida","","Species ","D.Nicolle","343","Bronco Plains, WA",30,50,27,122,50,"13",11,4,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R011/T04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"930","Eucalyptus falcata","eucalyptus falcata","Eucalyptus falcata","Eucalyptus falcata","eucalyptus falcata","","Species ","D.Nicolle","3433","Cargannocking Hill, WA",32,44,44,118,9,"4",229,2,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",2001,"R229/T02","Eucalyptus falcata","eucalyptus falcata","eucalyptus","falcata",NA,"eucalyptus falcata","Accepted","","Turcz.","CANB 630597**","KT631682","AF390506","KT632863","KT632289"
"931","Eucalyptus gardneri subsp. gardneri","eucalyptus gardneri subsp. gardneri","Eucalyptus gardneri subsp. gardneri","Eucalyptus gardneri subsp. gardneri","eucalyptus gardneri subsp. gardneri","","Subspecies","D.Nicolle","3434","Cargannocking Hill, WA",32,44,44,118,9,"4",227,9,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",2001,"R227/T09","Eucalyptus gardneri subsp. gardneri","eucalyptus gardneri","eucalyptus","gardneri","gardneri","eucalyptus gardneri subsp. gardneri","Accepted","","Maiden","Currency Creek 3434","KT631701","KT631110","KT632883","KT632309"
"932","Eucalyptus spathulata subsp. salina","eucalyptus spathulata subsp. salina","Eucalyptus spathulata subsp. salina","Eucalyptus spathulata subsp. salina","eucalyptus spathulata subsp. salina","","Subspecies","D.Nicolle","3435","Pingaring, WA",32,45,41,118,24,"2",206,21,"Dead","","","","","","","","","","","",2002,"R206/T21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"933","Eucalyptus sp. 'Sullivan Soak' (aff. horistes)","eucalyptus sp. sullivan soak","Eucalyptus sp. Sullivan Soak","Eucalyptus horistes","eucalyptus horistes","Synonym of Eucalyptus kochii subsp. borealis ","Species ","D.Nicolle","3436","Pingaring, WA",32,45,41,118,24,"2",227,26,"Alive","Moderate","Slight","?","Moderate","Primary, secondary & tertiary branches","3 - 6 months","Slight","","None evident","Flowered","Flowered",2001,"R227/T26","Eucalyptus horistes","eucalyptus horistes","eucalyptus","horistes",NA,"eucalyptus horistes","Accepted","","L.A.S.Johnson & K.D.Hill","Currency Creek 1169","KT631730","KT631136","KT632911","KT632336"
"934","Eucalyptus albida","eucalyptus albida","Eucalyptus albida","Eucalyptus albida","eucalyptus albida","","Species ","D.Nicolle","3437","Pingaring, WA",32,44,59,118,56,"50",227,6,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",2001,"R227/T06","Eucalyptus albida","eucalyptus albida","eucalyptus","albida",NA,"eucalyptus albida","Accepted","","Maiden & Blakely","Currency Creek 3437","KT631499","KT630943","KT632696","KT632137"
"935","Eucalyptus astringens subsp. astringens","eucalyptus astringens subsp. astringens","Eucalyptus astringens subsp. astringens","Eucalyptus astringens subsp. astringens","eucalyptus astringens subsp. astringens","","Subspecies","D.Nicolle","3438","Dragon Rocks, WA",32,44,1,119,0,"19",227,1,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",2001,"R227/T01","Eucalyptus astringens subsp. astringens","eucalyptus astringens","eucalyptus","astringens","astringens","eucalyptus astringens subsp. astringens","Accepted","","(Maiden) Maiden","Currency Creek 3503","KT631527","KT630965","","KT632156"
"936","Eucalyptus phenax subsp. phenax","eucalyptus phenax subsp. phenax","Eucalyptus phenax subsp. phenax","Eucalyptus phenax subsp. phenax","eucalyptus phenax subsp. phenax","","Subspecies","D.Nicolle","3439","Pingaring, WA",32,44,1,119,0,"19",227,21,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",2001,"R227/T21","Eucalyptus phenax subsp. phenax","eucalyptus phenax","eucalyptus","phenax","phenax","eucalyptus phenax subsp. phenax","Accepted","","Brooker & Slee","Currency Creek 929","KT631888","KT631270","KT633055","KT632469"
"937","Eucalyptus stricklandii","eucalyptus stricklandii","Eucalyptus stricklandii","Eucalyptus stricklandii","eucalyptus stricklandii","","Species ","D.Nicolle","344","Coonana, WA",31,1,23,123,4,"11",45,19,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1994,"R045/T19","Eucalyptus stricklandii","eucalyptus stricklandii","eucalyptus","stricklandii",NA,"eucalyptus stricklandii","Accepted","","Maiden","Currency Creek 3646","KT631992","KT631351","KT633147","KT632558"
"938","Eucalyptus neutra ","eucalyptus neutra","Eucalyptus neutra","Eucalyptus neutra","eucalyptus neutra","","Species ","D.Nicolle","3441","Hyden 2, WA",32,27,40,118,49,"10",204,33,"Alive","None evident","None evident","?","","","","","","Not applicable","Flowered","Flowered",2002,"R204/T33","Eucalyptus neutra","eucalyptus neutra","eucalyptus","neutra",NA,"eucalyptus neutra","Accepted","","D.Nicolle","Currency Creek 1855","KT631831","","KT633003","KT632423"
"939","Eucalyptus platycorys","eucalyptus platycorys","Eucalyptus platycorys","Eucalyptus platycorys","eucalyptus platycorys","","Species ","D.Nicolle","3445","Hyden, WA",32,19,11,119,1,"16",223,5,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",2001,"R223/T05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"940","Eucalyptus wandoo subsp. wandoo","eucalyptus wandoo subsp. wandoo","Eucalyptus wandoo subsp. wandoo","Eucalyptus wandoo subsp. wandoo","eucalyptus wandoo subsp. wandoo","","Subspecies","D.Nicolle","3447","Twine Reserve, WA",32,6,49,118,57,"39",223,13,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",2001,"R223/T13","Eucalyptus wandoo subsp. wandoo","eucalyptus wandoo","eucalyptus","wandoo","wandoo","eucalyptus wandoo subsp. wandoo","Accepted","","Blakely","Currency Creek 3447","KT632042","KT631394","KT633197","KT632603"
"941","Eucalyptus aequioperta","eucalyptus aequioperta","Eucalyptus aequioperta","Eucalyptus aequioperta","eucalyptus aequioperta","","Species ","D.Nicolle","3448","Hyden, WA",32,3,5,118,53,"54",223,21,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",2001,"R223/T21","Eucalyptus aequioperta","eucalyptus aequioperta","eucalyptus","aequioperta",NA,"eucalyptus aequioperta","Accepted","","Brooker & Hopper","Currency Creek 3448","KT631494","KT630939","KT632691","KT632132"
"942","Eucalyptus polita","eucalyptus polita","Eucalyptus polita","Eucalyptus polita","eucalyptus polita","","Species ","D.Nicolle","3449","Holleton, WA",31,57,57,118,58,"28",223,17,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",2001,"R223/T17","Eucalyptus polita","eucalyptus polita","eucalyptus","polita",NA,"eucalyptus polita","Accepted","","Brooker & Hopper","Currency Creek 3449","KT631902","KT631279","KT633067","KT632480"
"943","Eucalyptus eremophila","eucalyptus eremophila","Eucalyptus eremophila","Eucalyptus eremophila","eucalyptus eremophila","","Species ","D.Nicolle","345","Zanthus, WA",31,1,59,123,30,"42",16,28,"Dead","","","","","","","","","","","",1993,"R016/T28","Eucalyptus eremophila","eucalyptus eremophila","eucalyptus","eremophila",NA,"eucalyptus eremophila","Accepted","","(Diels) Maiden","CANB 794016**","KT631673","KT631086","KT632855","KT632281"
"944","Eucalyptus subangusta subsp. virescens","eucalyptus subangusta subsp. virescens","Eucalyptus subangusta subsp. virescens","Eucalyptus subangusta subsp. virescens","eucalyptus subangusta subsp. virescens","","Subspecies","D.Nicolle","3451","Bruce Rock, WA",31,59,16,118,20,"47",223,26,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",2001,"R223/T26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"945","Eucalyptus uncinata subsp. uncinata","eucalyptus uncinata subsp. uncinata","Eucalyptus uncinata subsp. uncinata","Eucalyptus uncinata","eucalyptus uncinata","","Species ","D.Nicolle","3453","Quairading, WA",31,58,16,117,12,"10",234,29,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",2001,"R234/T29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"946","Eucalyptus thamnoides","eucalyptus thamnoides","Eucalyptus thamnoides","Eucalyptus thamnoides","eucalyptus thamnoides","","Species ","D.Nicolle","3454","Quairading, WA",31,58,16,117,12,"10",234,5,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",2001,"R234/T05","Eucalyptus thamnoides","eucalyptus thamnoides","eucalyptus","thamnoides",NA,"eucalyptus thamnoides","Accepted","","Brooker & Hopper","Currency Creek 3545","KT632014","KT631369","KT633168","KT632577"
"947","Eucalyptus salicola","eucalyptus salicola","Eucalyptus salicola","Eucalyptus salicola","eucalyptus salicola","","Species ","D.Nicolle","3457","Baandie, WA",31,35,8,117,59,"29",227,17,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",2001,"R227/T17","Eucalyptus salicola","eucalyptus salicola","eucalyptus","salicola",NA,"eucalyptus salicola","Accepted","","Brooker","Currency Creek 3493","KT631958","KT631325","KT633118","KT632531"
"948","Eucalyptus erythronema subsp. erythronema","eucalyptus erythronema subsp. erythronema","Eucalyptus erythronema subsp. erythronema","Eucalyptus erythronema subsp. erythronema","eucalyptus erythronema subsp. erythronema","","Subspecies","D.Nicolle","3458","Bodallin, WA",31,22,38,118,42,"50",223,1,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",2001,"R223/T01","Eucalyptus erythronema subsp. erythronema","eucalyptus erythronema","eucalyptus","erythronema","erythronema","eucalyptus erythronema subsp. erythronema","Accepted","","Turcz.","Currency Creek 3458","KT631674","KT631087","KT632857","KT632282"
"949","Eucalyptus moderata (E. transcontinentalis subsp. semivestita) ","eucalyptus moderata","Eucalyptus moderata","Eucalyptus moderata","eucalyptus moderata","","Species ","D.Nicolle","3460","Noongar, WA",31,20,9,118,58,"12",206,34,"Alive","None evident","None evident","?","","","","","","Not applicable","Flowered","Flowered",2002,"R206/T34","Eucalyptus moderata","eucalyptus moderata","eucalyptus","moderata",NA,"eucalyptus moderata","Accepted","","L.A.S.Johnson & K.D.Hill","Currency Creek 1661","KT631820","KT631214","KT632992","KT632414"
"950","Eucalyptus extensa","eucalyptus extensa","Eucalyptus extensa","Eucalyptus extensa","eucalyptus extensa","","Species ","D.Nicolle","3467","Marvel Loch, WA",31,38,5,119,34,"14",224,33,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",2001,"R224/T33","Eucalyptus extensa","eucalyptus extensa","eucalyptus","extensa",NA,"eucalyptus extensa","Accepted","","L.A.S.Johnson & K.D.Hill","Currency Creek 3467","KT631681","KT631092","KT632862",""
"951","Eucalyptus polita","eucalyptus polita","Eucalyptus polita","Eucalyptus polita","eucalyptus polita","","Species ","D.Nicolle","3468","Marvel Loch, WA",31,29,41,119,31,"42",224,3,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",2001,"R224/T03","Eucalyptus polita","eucalyptus polita","eucalyptus","polita",NA,"eucalyptus polita","Accepted","","Brooker & Hopper","Currency Creek 3449","KT631902","KT631279","KT633067","KT632480"
"952","Eucalyptus balladoniensis subsp. sedens","eucalyptus balladoniensis subsp. sedens","Eucalyptus balladoniensis subsp. sedens","Eucalyptus balladoniensis subsp. sedens","eucalyptus balladoniensis subsp. sedens","","Subspecies","D.Nicolle","347","Zanthus 1, WA",31,15,49,123,40,"23",20,19,"Dead","","","","","","","","","","","",1993,"R020/T19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"953","Eucalyptus vittata","eucalyptus vittata","Eucalyptus vittata","Eucalyptus vittata","eucalyptus vittata","","Species ","D.Nicolle","3474","Yellowdine, WA",31,17,29,119,47,"44",235,5,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",2001,"R235/T05","Eucalyptus vittata","eucalyptus vittata","eucalyptus","vittata",NA,"eucalyptus vittata","Accepted","","D.Nicolle","Currency Creek 3667","KT632040","KT631392","KT633195","KT632601"
"954","Eucalyptus kochii subsp. yellowdinensis","eucalyptus kochii subsp. yellowdinensis","Eucalyptus kochii subsp. yellowdinensis","Eucalyptus kochii subsp. yellowdinensis","eucalyptus kochii subsp. yellowdinensis","","Subspecies","D.Nicolle","3477","Yellowdine, WA",31,16,22,119,56,"33",207,32,"Alive","None evident","None evident","?","","","","","","Not applicable","Flowered","Flowered",2002,"R207/T32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"955","Eucalyptus distuberosa subsp. distuberosa ","eucalyptus distuberosa subsp. distuberosa","Eucalyptus distuberosa subsp. distuberosa","Eucalyptus distuberosa subsp. distuberosa","eucalyptus distuberosa subsp. distuberosa","","Subspecies","D.Nicolle","3480","Yellowdine, WA",31,9,53,119,50,"19",221,33,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",2001,"R221/T33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"956","Eucalyptus kochii subsp. plenissima","eucalyptus kochii subsp. plenissima","Eucalyptus kochii subsp. plenissima","Eucalyptus kochii subsp. plenissima","eucalyptus kochii subsp. plenissima","","Subspecies","D.Nicolle","3482","Lake Deborah East, WA",30,45,56,119,20,"33",206,29,"Alive","None evident","None evident","?","","","","","","Not applicable","Flowered","Flowered",2002,"R206/T29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"957","Eucalyptus corrugata","eucalyptus corrugata","Eucalyptus corrugata","Eucalyptus corrugata","eucalyptus corrugata","","Species ","D.Nicolle","3483","Lake Deborah East, WA",30,45,56,119,20,"33",220,36,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",2001,"R220/T36","Eucalyptus corrugata","eucalyptus corrugata","eucalyptus","corrugata",NA,"eucalyptus corrugata","Accepted","","Luehm.","Currency Creek 3483","KT631610","KT631035","KT632796","KT632228"
"958","Eucalyptus sp. 'Mukinbudin' (E. leptophylla var. floribunda)","eucalyptus sp. mukinbudin","Eucalyptus sp. Mukinbudin","Eucalyptus leptophylla","eucalyptus leptophylla","","Species ","D.Nicolle","3486","Elachbutting Hill, WA",30,35,37,118,36,"30",223,9,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",2001,"R223/T09","Eucalyptus leptophylla","eucalyptus leptophylla","eucalyptus","leptophylla",NA,"eucalyptus leptophylla","Synonym","Eucalyptus foecunda","Schauer","Currency Creek 3486","KT631771","KT631170","KT632944","KT632372"
